"DATEKEY","DATEVALUE","CYEAR","CQTR","CMONTH","DAYNO","STARTOFMONTH","ENDOFMONTH","MONTHNAME","DAYOFWEEKNAME"
20131230,2013-12-30,2013,4,12,30,2013-12-01,2013-12-31,"DECEMBER ","MON"
20131231,2013-12-31,2013,4,12,31,2013-12-01,2013-12-31,"DECEMBER ","TUE"
20140101,2014-01-01,2014,1,1,1,2014-01-01,2014-01-31,"JANUARY  ","WED"
20140102,2014-01-02,2014,1,1,2,2014-01-01,2014-01-31,"JANUARY  ","THU"
20140103,2014-01-03,2014,1,1,3,2014-01-01,2014-01-31,"JANUARY  ","FRI"
20140104,2014-01-04,2014,1,1,4,2014-01-01,2014-01-31,"JANUARY  ","SAT"
20140105,2014-01-05,2014,1,1,5,2014-01-01,2014-01-31,"JANUARY  ","SUN"
20140106,2014-01-06,2014,1,1,6,2014-01-01,2014-01-31,"JANUARY  ","MON"
20140107,2014-01-07,2014,1,1,7,2014-01-01,2014-01-31,"JANUARY  ","TUE"
20140108,2014-01-08,2014,1,1,8,2014-01-01,2014-01-31,"JANUARY  ","WED"
20140109,2014-01-09,2014,1,1,9,2014-01-01,2014-01-31,"JANUARY  ","THU"
20140110,2014-01-10,2014,1,1,10,2014-01-01,2014-01-31,"JANUARY  ","FRI"
20140111,2014-01-11,2014,1,1,11,2014-01-01,2014-01-31,"JANUARY  ","SAT"
20140112,2014-01-12,2014,1,1,12,2014-01-01,2014-01-31,"JANUARY  ","SUN"
20140113,2014-01-13,2014,1,1,13,2014-01-01,2014-01-31,"JANUARY  ","MON"
20140114,2014-01-14,2014,1,1,14,2014-01-01,2014-01-31,"JANUARY  ","TUE"
20140115,2014-01-15,2014,1,1,15,2014-01-01,2014-01-31,"JANUARY  ","WED"
20140116,2014-01-16,2014,1,1,16,2014-01-01,2014-01-31,"JANUARY  ","THU"
20140117,2014-01-17,2014,1,1,17,2014-01-01,2014-01-31,"JANUARY  ","FRI"
20140118,2014-01-18,2014,1,1,18,2014-01-01,2014-01-31,"JANUARY  ","SAT"
20140119,2014-01-19,2014,1,1,19,2014-01-01,2014-01-31,"JANUARY  ","SUN"
20140120,2014-01-20,2014,1,1,20,2014-01-01,2014-01-31,"JANUARY  ","MON"
20140121,2014-01-21,2014,1,1,21,2014-01-01,2014-01-31,"JANUARY  ","TUE"
20140122,2014-01-22,2014,1,1,22,2014-01-01,2014-01-31,"JANUARY  ","WED"
20140123,2014-01-23,2014,1,1,23,2014-01-01,2014-01-31,"JANUARY  ","THU"
20140124,2014-01-24,2014,1,1,24,2014-01-01,2014-01-31,"JANUARY  ","FRI"
20140125,2014-01-25,2014,1,1,25,2014-01-01,2014-01-31,"JANUARY  ","SAT"
20140126,2014-01-26,2014,1,1,26,2014-01-01,2014-01-31,"JANUARY  ","SUN"
20140127,2014-01-27,2014,1,1,27,2014-01-01,2014-01-31,"JANUARY  ","MON"
20140128,2014-01-28,2014,1,1,28,2014-01-01,2014-01-31,"JANUARY  ","TUE"
20140129,2014-01-29,2014,1,1,29,2014-01-01,2014-01-31,"JANUARY  ","WED"
20140130,2014-01-30,2014,1,1,30,2014-01-01,2014-01-31,"JANUARY  ","THU"
20140131,2014-01-31,2014,1,1,31,2014-01-01,2014-01-31,"JANUARY  ","FRI"
20140201,2014-02-01,2014,1,2,1,2014-02-01,2014-02-28,"FEBRUARY ","SAT"
20140202,2014-02-02,2014,1,2,2,2014-02-01,2014-02-28,"FEBRUARY ","SUN"
20140203,2014-02-03,2014,1,2,3,2014-02-01,2014-02-28,"FEBRUARY ","MON"
20140204,2014-02-04,2014,1,2,4,2014-02-01,2014-02-28,"FEBRUARY ","TUE"
20140205,2014-02-05,2014,1,2,5,2014-02-01,2014-02-28,"FEBRUARY ","WED"
20140206,2014-02-06,2014,1,2,6,2014-02-01,2014-02-28,"FEBRUARY ","THU"
20140207,2014-02-07,2014,1,2,7,2014-02-01,2014-02-28,"FEBRUARY ","FRI"
20140208,2014-02-08,2014,1,2,8,2014-02-01,2014-02-28,"FEBRUARY ","SAT"
20140209,2014-02-09,2014,1,2,9,2014-02-01,2014-02-28,"FEBRUARY ","SUN"
20140210,2014-02-10,2014,1,2,10,2014-02-01,2014-02-28,"FEBRUARY ","MON"
20140211,2014-02-11,2014,1,2,11,2014-02-01,2014-02-28,"FEBRUARY ","TUE"
20140212,2014-02-12,2014,1,2,12,2014-02-01,2014-02-28,"FEBRUARY ","WED"
20140213,2014-02-13,2014,1,2,13,2014-02-01,2014-02-28,"FEBRUARY ","THU"
20140214,2014-02-14,2014,1,2,14,2014-02-01,2014-02-28,"FEBRUARY ","FRI"
20140215,2014-02-15,2014,1,2,15,2014-02-01,2014-02-28,"FEBRUARY ","SAT"
20140216,2014-02-16,2014,1,2,16,2014-02-01,2014-02-28,"FEBRUARY ","SUN"
20140217,2014-02-17,2014,1,2,17,2014-02-01,2014-02-28,"FEBRUARY ","MON"
20140218,2014-02-18,2014,1,2,18,2014-02-01,2014-02-28,"FEBRUARY ","TUE"
20140219,2014-02-19,2014,1,2,19,2014-02-01,2014-02-28,"FEBRUARY ","WED"
20140220,2014-02-20,2014,1,2,20,2014-02-01,2014-02-28,"FEBRUARY ","THU"
20140221,2014-02-21,2014,1,2,21,2014-02-01,2014-02-28,"FEBRUARY ","FRI"
20140222,2014-02-22,2014,1,2,22,2014-02-01,2014-02-28,"FEBRUARY ","SAT"
20140223,2014-02-23,2014,1,2,23,2014-02-01,2014-02-28,"FEBRUARY ","SUN"
20140224,2014-02-24,2014,1,2,24,2014-02-01,2014-02-28,"FEBRUARY ","MON"
20140225,2014-02-25,2014,1,2,25,2014-02-01,2014-02-28,"FEBRUARY ","TUE"
20140226,2014-02-26,2014,1,2,26,2014-02-01,2014-02-28,"FEBRUARY ","WED"
20140227,2014-02-27,2014,1,2,27,2014-02-01,2014-02-28,"FEBRUARY ","THU"
20140228,2014-02-28,2014,1,2,28,2014-02-01,2014-02-28,"FEBRUARY ","FRI"
20140301,2014-03-01,2014,1,3,1,2014-03-01,2014-03-31,"MARCH    ","SAT"
20140302,2014-03-02,2014,1,3,2,2014-03-01,2014-03-31,"MARCH    ","SUN"
20140303,2014-03-03,2014,1,3,3,2014-03-01,2014-03-31,"MARCH    ","MON"
20140304,2014-03-04,2014,1,3,4,2014-03-01,2014-03-31,"MARCH    ","TUE"
